"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","1,498.28","1,485.97","1,499.07","1,485.97","875.73K","0.83%"
"Dec 30, 2021","1,485.97","1,490.96","1,493.38","1,484.82","747.86K","0.01%"
"Dec 29, 2021","1,485.82","1,494.39","1,498.91","1,485.82","843.88K","-0.57%"
"Dec 28, 2021","1,494.39","1,488.88","1,499.77","1,483.97","1.00M","0.37%"
"Dec 27, 2021","1,488.88","1,477.03","1,490.12","1,469.91","752.11K","0.80%"
"Dec 24, 2021","1,477.03","1,456.96","1,478.80","1,456.32","889.48K","1.38%"
"Dec 23, 2021","1,456.96","1,477.67","1,481.21","1,447.14","1.36M","-1.40%"
"Dec 22, 2021","1,477.67","1,478.74","1,489.24","1,471.84","1.07M","-0.07%"
"Dec 21, 2021","1,478.74","1,477.33","1,486.09","1,472.43","902.84K","0.10%"
"Dec 20, 2021","1,477.33","1,479.79","1,483.85","1,468.88","963.35K","-0.17%"
"Dec 17, 2021","1,479.79","1,476.61","1,487.73","1,476.61","1.11M","0.22%"
"Dec 16, 2021","1,476.61","1,475.50","1,482.32","1,468.95","927.54K","0.08%"
"Dec 15, 2021","1,475.50","1,476.02","1,481.67","1,468.21","906.08K","-0.04%"
"Dec 14, 2021","1,476.02","1,476.21","1,485.14","1,469.21","964.11K","-0.01%"
"Dec 13, 2021","1,476.21","1,463.54","1,481.70","1,463.54","865.58K","0.87%"
"Dec 10, 2021","1,463.54","1,467.98","1,475.85","1,461.78","798.29K","-0.30%"
"Dec 09, 2021","1,467.98","1,452.87","1,467.98","1,446.88","665.46K","1.04%"
"Dec 08, 2021","1,452.87","1,446.77","1,460.28","1,446.77","771.03K","0.42%"
"Dec 07, 2021","1,446.77","1,413.58","1,446.77","1,413.58","755.91K","2.35%"
"Dec 06, 2021","1,413.58","1,443.32","1,452.55","1,400.87","1.04M","-2.06%"
"Dec 03, 2021","1,443.32","1,482.05","1,491.20","1,443.32","1.10M","-2.61%"
"Dec 02, 2021","1,482.05","1,485.19","1,493.84","1,482.05","763.96K","-0.21%"
"Dec 01, 2021","1,485.19","1,478.44","1,487.68","1,471.30","876.73K","0.46%"
"Nov 30, 2021","1,478.44","1,484.84","1,503.09","1,471.57","1.08M","-0.43%"
"Nov 29, 2021","1,484.84","1,493.03","1,493.03","1,464.83","1.01M","-0.55%"
"Nov 26, 2021","1,493.03","1,500.81","1,511.68","1,488.83","1.06M","-0.52%"
"Nov 25, 2021","1,500.81","1,488.87","1,505.36","1,488.87","1.01M","0.80%"
"Nov 24, 2021","1,488.87","1,463.63","1,491.05","1,463.63","1.12M","1.72%"
"Nov 23, 2021","1,463.63","1,447.25","1,463.63","1,438.41","880.07K","1.13%"
"Nov 22, 2021","1,447.25","1,452.35","1,466.46","1,442.85","1.27M","-0.35%"
"Nov 19, 2021","1,452.35","1,469.83","1,481.53","1,434.69","1.52M","-1.19%"
"Nov 18, 2021","1,469.83","1,475.85","1,482.87","1,469.83","1.09M","-0.41%"
"Nov 17, 2021","1,475.85","1,466.45","1,477.04","1,464.78","860.80K","0.64%"
"Nov 16, 2021","1,466.45","1,476.57","1,476.97","1,459.08","1.22M","-0.69%"
"Nov 15, 2021","1,476.57","1,473.37","1,481.96","1,466.01","1.17M","0.22%"
"Nov 12, 2021","1,473.37","1,462.35","1,474.98","1,453.22","955.63K","0.75%"
"Nov 11, 2021","1,462.35","1,465.02","1,472.89","1,449.18","1.27M","-0.18%"
"Nov 10, 2021","1,465.02","1,461.50","1,470.19","1,457.98","985.54K","0.24%"
"Nov 09, 2021","1,461.50","1,467.57","1,474.20","1,457.57","1.03M","-0.41%"
"Nov 08, 2021","1,467.57","1,456.51","1,470.49","1,456.51","1.08M","0.76%"
"Nov 05, 2021","1,456.51","1,448.34","1,459.93","1,444.51","874.07K","0.56%"
"Nov 04, 2021","1,448.34","1,444.30","1,451.98","1,435.84","929.53K","0.28%"
"Nov 03, 2021","1,444.30","1,452.46","1,463.63","1,440.67","1.51M","-0.56%"
"Nov 02, 2021","1,452.46","1,438.97","1,452.46","1,438.83","1.01M","0.94%"
"Nov 01, 2021","1,438.97","1,444.27","1,451.81","1,435.57","1.13M","-0.37%"
"Oct 29, 2021","1,444.27","1,438.01","1,447.62","1,432.19","982.01K","0.44%"
"Oct 28, 2021","1,438.01","1,423.02","1,440.64","1,420.42","865.43K","1.05%"
"Oct 27, 2021","1,423.02","1,391.63","1,423.02","1,391.63","936.22K","2.26%"
"Oct 26, 2021","1,391.63","1,385.40","1,393.03","1,377.56","747.95K","0.45%"
"Oct 25, 2021","1,385.40","1,389.24","1,395.72","1,385.40","899.26K","-0.28%"
"Oct 22, 2021","1,389.24","1,384.77","1,393.70","1,384.77","798.13K","0.32%"
"Oct 21, 2021","1,384.77","1,393.80","1,398.45","1,384.77","709.07K","-0.65%"
"Oct 20, 2021","1,393.80","1,395.33","1,401.76","1,376.15","845.89K","-0.11%"
"Oct 19, 2021","1,395.33","1,395.53","1,399.66","1,388.95","639.44K","-0.01%"
"Oct 18, 2021","1,395.53","1,392.70","1,402.63","1,390.88","795.92K","0.20%"
"Oct 15, 2021","1,392.70","1,391.85","1,399.03","1,388.00","784.56K","0.06%"
"Oct 14, 2021","1,391.85","1,391.91","1,398.67","1,388.89","725.51K","-0.00%"
"Oct 13, 2021","1,391.91","1,394.80","1,400.67","1,389.61","645.35K","-0.21%"
"Oct 12, 2021","1,394.80","1,394.09","1,400.78","1,389.43","742.81K","0.05%"
"Oct 11, 2021","1,394.09","1,372.73","1,394.64","1,372.73","764.35K","1.56%"
"Oct 08, 2021","1,372.73","1,365.99","1,373.18","1,365.93","632.86K","0.49%"
"Oct 07, 2021","1,365.99","1,362.82","1,367.64","1,360.57","693.03K","0.23%"
"Oct 06, 2021","1,362.82","1,354.63","1,362.82","1,354.63","637.00K","0.60%"
"Oct 05, 2021","1,354.63","1,339.54","1,354.63","1,339.54","636.27K","1.13%"
"Oct 04, 2021","1,339.54","1,334.89","1,347.49","1,333.53","736.08K","0.35%"
"Oct 01, 2021","1,334.89","1,342.06","1,344.06","1,332.97","738.17K","-0.53%"
"Sep 30, 2021","1,342.06","1,339.21","1,348.89","1,339.21","476.91K","0.21%"
"Sep 29, 2021","1,339.21","1,339.31","1,340.90","1,328.17","598.50K","-0.01%"
"Sep 28, 2021","1,339.31","1,324.99","1,341.81","1,316.41","623.51K","1.08%"
"Sep 27, 2021","1,324.99","1,351.17","1,354.38","1,324.99","778.44K","-1.94%"
"Sep 24, 2021","1,351.17","1,352.76","1,356.97","1,348.07","673.10K","-0.12%"
"Sep 23, 2021","1,352.76","1,350.68","1,361.09","1,350.43","997.61K","0.15%"
"Sep 22, 2021","1,350.68","1,339.84","1,350.71","1,336.63","779.65K","0.81%"
"Sep 21, 2021","1,339.84","1,350.48","1,350.48","1,324.82","859.68K","-0.79%"
